,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
4084,PTP,Viễn thông cố định,2019.0,1.736037,0.051752,93.665767,-187.688946,0.083789,0.187771,0.029591,0.135726,0.197435,0.446228,4.586673,0.569224,1.321391,0.020534,0.598612,-0.018029,7.201759,3.05632,0.326794,0.158743,-5.307197,0.138687,-0.184681,-0.026863,0.221428,0.758653,-0.060419,0.041268
4085,PTS,Vận tải,2016.0,1.881592,0.017833,18.222278,-342.172542,0.086124,0.299727,0.055982,0.373676,0.135584,0.287341,6.674985,0.513244,1.054419,0.04188,2.736807,-0.013339,15.766913,10.015214,0.099848,0.160787,-13.899982,0.063424,,,,,,
4086,PTS,Vận tải,2017.0,1.880735,0.025724,39.547878,-788.284065,0.098021,0.297324,0.083074,0.497065,0.166157,0.329677,5.983382,0.49828,0.993144,0.048988,1.393811,-0.014164,14.318213,8.446713,0.118389,0.167387,-12.610547,0.069841,0.118391,0.022983,0.014643,0.204226,-0.042767,0.465054
4087,PTS,Vận tải,2018.0,1.882411,0.020846,34.35553,-3890.408962,0.046706,0.280143,0.006969,0.020168,0.084259,0.16672,2.893751,0.735882,2.786179,0.027192,1.19673,-0.0149,19.473114,10.794143,0.092643,0.106948,-17.183285,0.051353,-0.089505,0.220893,0.240652,-0.031,0.283011,0.003463
4088,PTS,Vận tải,2019.0,1.871139,0.017684,23.999214,-5529.397016,0.077771,0.505843,0.009991,0.033142,0.055482,0.153746,3.317031,0.70421,2.380775,0.032087,1.078286,-0.023201,14.59487,20.458295,0.04888,0.146264,-12.714166,0.068517,0.496057,0.228756,0.106954,-0.408395,0.265221,-0.048782
4089,PTT,Vận tải,2016.0,1.965849,0.01181,30.585175,-1886.395405,0.008576,0.020633,0.02973,0.080643,0.341905,0.415674,2.71251,0.622187,1.646813,0.004034,4.094485,-0.011949,237.875581,5.966943,0.16759,0.069673,-229.751825,0.004204,,,,,,
4090,PTT,Vận tải,2017.0,1.952793,0.014835,52.564771,-11794.418003,0.002888,0.007548,0.076383,0.298452,0.309755,0.382643,3.907336,0.430488,0.75589,0.03505,2.288044,-0.017952,960.066028,8.95161,0.111712,0.130896,-914.74393,0.001042,-0.76449,0.3139,-0.062331,-0.366406,0.166477,0.194005
4091,PTT,Vận tải,2018.0,1.959678,0.0126,37.239242,,0.002064,0.007753,0.066639,0.355853,0.188874,0.266255,5.340052,0.415474,0.710788,0.057385,2.454772,-0.015002,1173.681611,12.827912,0.077955,0.097695,-1126.355966,0.000852,-0.275314,-0.243278,-0.107669,-0.381779,-0.193763,-0.247542
4092,PTT,Vận tải,2019.0,1.959625,0.00842,35.778815,,0.001006,0.002177,0.169095,0.765087,0.256761,0.462048,4.524605,0.345476,0.527828,0.065032,2.293498,-0.016694,2358.056762,9.236123,0.108271,0.095748,-2262.850812,0.000424,-0.557966,-0.110752,-0.111953,0.233462,-0.058887,-0.406514
4093,PTV,"Thiết bị, Dịch vụ và Phân phối Dầu khí",2016.0,1.93582,0.005131,29.624429,-2190.271732,0.145924,0.199657,0.146179,0.393307,0.234159,0.73087,2.690587,0.445406,0.803121,0.017944,2.927364,-0.007699,9.88551,6.160457,0.162326,0.092582,-9.251056,0.101158,,,,,,
