,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
0,A32,Hàng cá nhân,2016.0,1.895679,0.068509,22.471583,-5318.315362,0.260027,0.352232,0.300585,0.467199,0.166626,0.738226,1.554298,0.648602,1.852114,0.083849,2.774376,-0.041601,5.204208,8.121369,0.123132,0.141171,-4.661299,0.192152,,,,,,
1,A32,Hàng cá nhân,2017.0,1.892711,0.06874,52.905524,-10941.624385,0.260365,0.348655,0.29074,0.451963,0.199366,0.746771,1.554527,0.648132,1.841799,0.079304,1.295208,-0.03688,4.690403,6.125511,0.163228,0.130864,-4.187785,0.21317,0.078795,-0.001265,-0.030794,0.289084,-0.023465,-0.024427
2,A32,Hàng cá nhân,2018.0,1.903333,0.080305,60.273457,-9783.135884,0.350557,0.489352,0.12433,0.219468,0.242161,0.716369,1.765215,0.571685,1.334631,0.110687,1.362423,-0.041852,3.931692,5.691586,0.175693,0.133196,-3.551736,0.254336,0.259998,-0.0475,0.068627,0.136706,-0.319033,0.233866
3,A32,Hàng cá nhân,2019.0,1.88101,0.082791,45.139236,-5865.498353,0.419251,0.610323,0.139134,0.288314,0.132195,0.686933,2.0722,0.485865,0.945002,0.137103,1.557024,-0.043082,3.792186,12.02672,0.083148,0.18918,-3.340953,0.2637,0.109455,0.317581,0.043613,-0.493586,0.488417,0.103218
4,AAA,Hàng công nghiệp,2016.0,1.856088,0.077225,43.126469,-2598.22418,0.146409,0.330917,0.13214,0.356645,0.164606,0.442435,2.698989,0.689775,2.223471,0.052593,1.419136,-0.024794,4.757682,4.23174,0.236119,0.099764,-4.076276,0.210017,,,,,,
5,AAA,Hàng công nghiệp,2017.0,1.863239,0.080121,69.788956,-3880.752004,0.117278,0.250468,0.111355,0.255966,0.229373,0.468235,2.298648,0.644905,1.816148,0.06201,1.080494,-0.03981,7.582908,3.877123,0.257471,0.120272,-6.557375,0.131644,0.191061,0.792579,0.916022,1.071972,0.554243,0.969521
6,AAA,Hàng công nghiệp,2018.0,1.915176,0.030666,63.808132,-4609.361408,0.114588,0.216262,0.08573,0.201327,0.232624,0.529855,2.348385,0.604173,1.526354,0.035311,1.336859,-0.014038,9.286097,4.574203,0.21842,0.089377,-8.506106,0.10759,0.607562,0.222664,1.0853,0.668627,0.7529,-0.246504
7,AAA,Hàng công nghiệp,2019.0,1.885505,0.063772,81.374582,-4290.386259,0.152928,0.245708,0.036517,0.090116,0.297541,0.622397,2.467819,0.592456,1.453723,0.075454,1.220261,-0.032675,7.579247,3.895518,0.256147,0.130472,-6.726086,0.131652,0.415826,0.548645,0.119545,0.356917,0.288652,1.40308
8,AAM,Sản xuất thực phẩm,2016.0,1.910561,0.005511,74.246661,-39.997664,0.374482,0.456229,0.051905,1.360075,0.43345,0.820821,26.203158,0.050117,0.052761,0.08167,2.198785,-0.001366,2.845074,2.458023,0.40118,0.081625,-2.627107,0.346602,,,,,,
9,AAM,Sản xuất thực phẩm,2017.0,1.910571,0.016722,164.545186,-92.231824,0.188028,0.240959,0.054286,1.811495,0.359136,0.780331,33.369251,0.042151,0.044006,0.067743,0.904258,-0.000182,4.739697,2.48149,0.400117,0.073884,-4.346753,0.209483,-0.510249,-0.117095,-0.189669,-0.191824,-0.086408,1.475785
10,AAM,Sản xuất thực phẩm,2018.0,1.887332,0.048712,106.002749,-141.304636,0.283483,0.351744,0.048264,0.728029,0.158425,0.805935,15.084245,0.079492,0.086357,0.067978,0.949577,-0.010961,3.34815,5.991133,0.165659,0.100559,-2.993422,0.296427,0.378202,0.244166,-0.050892,-0.596753,-0.093033,1.836136
11,AAM,Sản xuất thực phẩm,2019.0,1.864503,0.032853,50.160537,-141.902649,0.491627,0.602281,0.060628,0.918491,0.100965,0.816275,15.149566,0.070734,0.076118,0.067313,1.023659,-0.009254,1.932265,9.408695,0.101845,0.092918,-1.743264,0.49591,0.715755,-0.08584,-0.000804,-0.369483,-0.02207,-0.332192
12,AAS,NULL,2019.0,1.740225,0.201934,38.547752,,0.0,0.0,0.354777,1.034577,0.047458,0.87324,2.916133,0.34292,0.521885,0.060139,0.464703,-0.012872,,4.734388,0.211221,0.058368,,0.0,,,,,,
13,AAT,NULL,2016.0,1.837267,0.001308,126.405019,-7637.980539,0.027183,0.218445,0.001947,0.008765,0.089699,0.12444,4.501007,0.405202,0.681243,0.028419,0.267743,-0.000275,4.764156,1.443772,0.69263,0.021075,-3.988873,0.209901,,,,,,
14,AAT,NULL,2017.0,1.863018,0.034531,249.944627,-10431.500469,0.029179,0.143373,0.00187,0.007795,0.179548,0.203517,4.168703,0.400664,0.668513,0.028349,0.214153,-0.003342,6.755832,1.097905,0.910826,0.027003,-5.830407,0.14802,0.06475,0.27095,0.556311,0.985521,0.601445,38.85024
15,AAT,NULL,2018.0,1.831003,0.098551,132.757508,-6715.161405,0.032603,0.150102,0.011322,0.080021,0.177745,0.217207,7.067879,0.343024,0.522125,0.069601,0.506221,-0.014153,15.282282,2.803177,0.356738,0.084203,-12.699623,0.065435,0.086183,2.031301,1.365892,-0.037664,0.195428,6.012337
16,AAT,NULL,2019.0,1.85442,0.079062,145.085876,-6767.035461,0.040501,0.163149,0.008531,0.071854,0.216659,0.248247,8.422287,0.316177,0.462368,0.10391,0.505116,-0.011646,12.179131,2.276715,0.439229,0.07181,-10.406089,0.082108,0.258236,-0.136198,0.031,0.234616,-0.240065,-0.195549
17,AAV,Bất động sản,2016.0,1.880187,0.117829,284.540174,-2583333.66762,0.073179,0.212702,0.040859,0.286922,0.714963,0.344042,7.022248,0.559385,1.269554,0.041016,0.946822,-0.024821,6.2664,0.641386,1.559124,0.054942,-5.515602,0.159581,,,,,,
18,AAV,Bất động sản,2017.0,1.831369,0.118955,390.711195,-47097.05203,0.061574,0.171104,0.004046,0.011151,0.726818,0.359862,2.755892,0.550666,1.225514,0.057271,0.676341,-0.034208,10.75163,0.910844,1.097883,0.111637,-8.938573,0.093009,-0.128756,1.103917,0.411937,0.05262,1.53573,0.509126
19,AAV,Bất động sản,2018.0,1.866143,0.10177,181.614638,-58344.588036,0.07332,0.156781,0.050416,0.135778,0.508607,0.467657,2.693177,0.490685,0.96342,0.099852,1.242849,-0.053518,16.40945,2.365548,0.422735,0.161048,-14.212922,0.06094,0.256685,0.52248,0.998212,-0.261487,0.279309,0.640909
20,AAV,Bất động sản,2019.0,1.893817,0.073615,196.604607,-59680.232127,0.041182,0.071012,0.033558,0.122496,0.664729,0.579931,3.650237,0.366278,0.57798,0.061612,1.124687,-0.023664,22.580575,1.398934,0.713674,0.097394,-20.215597,0.044214,-0.152436,-0.087437,0.205524,0.972188,0.080518,-0.156362
21,ABC,Viễn thông di động,2016.0,1.980164,0.015841,14.630448,-1331.513529,0.086059,0.090345,0.131165,0.320193,0.496873,0.95256,2.441147,0.415037,0.70951,0.116456,12.449042,-0.035967,72.020461,12.473987,0.080167,0.122941,-70.591885,0.013885,,,,,,
22,ABC,Viễn thông di động,2017.0,1.989546,0.095958,32.658773,-2873.05247,0.074473,0.094955,0.104816,0.469479,0.242644,0.784293,4.479065,0.232695,0.303263,0.068253,4.966493,-0.159573,80.085187,24.579835,0.040682,0.062166,-79.250439,0.012486,-0.478595,-0.695332,-0.414641,-0.705763,0.620961,2.512113
23,ABC,Viễn thông di động,2018.0,1.963368,0.034073,76.831474,-5555.498312,0.159391,0.167809,0.076914,0.244254,0.266524,0.949831,3.175671,0.323196,0.477533,0.079393,1.251343,-0.011284,7.05947,4.221812,0.236807,0.040955,-6.802522,0.141619,1.506561,-0.228444,-0.784847,0.286406,-0.642698,-0.921543
24,ABC,Viễn thông di động,2019.0,1.973847,0.01654,34.361129,-4098.22887,0.180855,0.203323,0.077774,0.236209,0.245018,0.889497,3.037126,0.337395,0.509194,0.080278,2.746436,-0.012877,14.783374,10.912061,0.091633,0.069687,-14.398053,0.067637,0.170441,0.755203,1.477328,-0.051705,0.528941,0.189787
25,ABG,NULL,2016.0,1.775161,0.231729,2448.966723,-68485.283384,0.0,0.0,0.000239,0.003436,1.280224,0.164678,14.355156,0.069661,0.074877,0.075209,0.193007,-0.004514,,0.074521,13.418996,0.021451,,0.0,,,,,,
26,ABG,NULL,2017.0,1.75298,0.234555,2278.881146,,0.0,0.0,0.002921,0.046538,1.317816,0.13823,15.933603,0.06276,0.066963,0.111025,0.210221,-0.010035,,0.155251,6.441173,0.050538,,0.0,,1.438499,1.156029,0.065388,5.121242,1.246612
27,ABI,Bảo hiểm phi nhân thọ,2016.0,1.548141,0.0,21.335119,,0.001133,0.00128,0.073969,0.121136,0.069946,0.885121,1.637667,0.610628,1.568238,0.092844,1.345669,-0.046289,528.242742,8.553972,0.110776,0.25221,-305.571939,0.001794,,,,,,
28,ABI,Bảo hiểm phi nhân thọ,2017.0,1.543898,0.0,45.627898,,0.001835,0.002018,0.078045,0.123317,0.079695,0.909321,1.580074,0.632882,1.723917,0.089349,0.681533,-0.048885,305.208162,7.027683,0.135189,0.23944,-174.7275,0.003113,0.87831,0.100652,0.074027,0.320948,0.110157,
29,ABI,Bảo hiểm phi nhân thọ,2018.0,1.543814,0.0,42.595894,,0.001617,0.001784,0.027386,0.042121,0.067507,0.906313,1.538066,0.650167,1.858508,0.097166,0.707775,-0.057444,355.591946,8.519074,0.111609,0.246168,-203.382088,0.002674,0.0527,0.228009,0.225339,0.011767,0.170405,
30,ABI,Bảo hiểm phi nhân thọ,2019.0,1.514803,0.0,39.157014,,0.00111,0.001201,0.018562,0.028417,0.064854,0.924458,1.530909,0.653207,1.883562,0.116304,0.704426,-0.068093,508.356011,8.701415,0.108424,0.256391,-277.392093,0.001856,-0.175902,0.25049,0.123984,0.153447,0.167404,
31,ABR,Bán lẻ,2016.0,1.885228,0.088907,153.790126,-295.989636,0.089243,0.131283,0.03397,0.535152,0.72128,0.679778,15.753523,0.063539,0.06785,0.082269,1.713465,-0.013766,9.590986,1.186682,0.842522,0.09809,-8.49186,0.104244,,,,,,
32,ABR,Bán lẻ,2017.0,1.939838,0.033999,309.15684,-2138.752916,0.043767,0.06272,0.107346,0.876754,0.588574,0.697808,8.16757,0.122492,0.13959,0.094928,0.769786,-0.005823,16.84768,1.252803,0.79821,0.044362,-15.834083,0.059355,-0.464477,-0.506149,-0.001455,-0.108941,-0.401046,-0.640266
33,ABR,Bán lẻ,2018.0,1.869454,0.101566,427.199818,-7199.127556,0.078013,0.121413,0.030224,0.406436,0.750389,0.64254,13.447575,0.074363,0.080337,0.092065,0.569563,-0.012958,7.568634,0.78686,1.270874,0.077081,-6.58058,0.132124,0.660649,0.618799,-0.309841,0.187792,-0.17394,1.228655
34,ABR,Bán lẻ,2019.0,1.547939,0.403525,358.302896,-3294.970336,0.001059,0.0016,0.397747,2.310068,0.100979,0.662037,5.807878,0.180788,0.220686,0.045318,0.199528,-0.011143,98.810317,1.03645,0.964831,0.047313,-54.141985,0.01012,-0.902505,3.407588,-0.197857,-0.033692,5.161191,4.056939
35,ABS,Hóa chất,2017.0,1.939888,0.064226,211.81069,-2357.324797,0.086833,0.186893,0.001708,0.004738,1.2231,0.464612,2.774651,0.363184,0.570312,0.09854,2.215886,-0.021737,12.136502,0.861618,1.160607,0.063349,-11.40695,0.082396,,,,,,
36,ABS,Hóa chất,2018.0,1.944904,0.0792,549.430105,-4034.902132,0.015745,0.03101,0.001402,0.003889,1.322112,0.507738,2.774521,0.362156,0.567782,0.141751,0.91828,-0.021106,51.673595,0.615368,1.625043,0.044825,-48.826609,0.019352,-0.80326,-0.232246,-0.157868,0.172866,0.083372,0.032963
37,ABS,Hóa chất,2019.0,1.931502,0.054586,363.267579,-4544.777878,0.029869,0.055541,0.002699,0.006902,1.214953,0.537786,2.557289,0.391833,0.644286,0.173917,1.297325,-0.023071,39.899952,0.980928,1.018933,0.081079,-37.185482,0.02505,1.167271,1.066392,0.650555,0.049819,-0.038662,0.15337
38,ABT,Sản xuất thực phẩm,2016.0,1.818238,0.129182,28.513001,-2103.482375,0.17056,0.193211,0.051903,0.147093,0.101571,0.882765,2.833981,0.359739,0.561863,0.037813,1.378473,-0.015578,3.811657,6.400589,0.155248,0.114782,-3.138683,0.260695,,,,,,
39,ABT,Sản xuất thực phẩm,2017.0,1.869389,0.08574,65.762174,-3864.942178,0.149519,0.255362,0.021629,0.060562,0.113996,0.58552,2.799982,0.362931,0.569689,0.020441,0.6395,-0.011918,4.045412,5.30602,0.187342,0.075849,-3.538127,0.24572,-0.14352,-0.35439,-0.03452,0.096522,-0.083037,-0.396676
40,ABT,Sản xuất thực phẩm,2018.0,1.768619,0.185944,58.911496,-2724.157516,0.229094,0.459784,0.056637,0.273968,0.103627,0.498264,4.837232,0.216354,0.276086,0.053259,0.724373,-0.016262,3.22714,7.134438,0.13955,0.168559,-2.491374,0.308512,0.293559,0.876179,-0.08914,-0.23255,0.081912,1.237888
41,ABT,Sản xuất thực phẩm,2019.0,1.849572,0.151701,59.286366,-1940.547265,0.301391,0.62773,0.046196,0.206982,0.114819,0.480128,4.480496,0.232737,0.303334,0.040831,0.737313,-0.004864,2.225378,5.841459,0.17119,0.100893,-1.890619,0.449362,0.32274,-0.398179,0.003782,0.114035,-0.101537,-0.255839
42,AC4,Xây dựng và Vật liệu,2016.0,1.944856,0.024895,96.425247,,0.371584,0.373682,0.183083,0.200931,0.578441,0.994385,1.097485,0.911174,10.257967,0.009748,2.216177,-0.061387,2.946282,1.892658,0.52228,0.048334,-2.816207,0.335507,,,,,,
43,AC4,Xây dựng và Vật liệu,2017.0,1.952574,0.024837,158.265091,,0.343223,0.344763,0.187826,0.214863,0.504125,0.995534,1.143951,0.874163,6.946806,0.01513,1.264499,-0.059334,4.306318,2.931868,0.340259,0.0667,-4.111984,0.231658,-0.312922,0.0265,0.003212,-0.351716,0.047842,0.001899
44,AC4,Xây dựng và Vật liệu,2018.0,1.947573,0.024484,138.111675,,0.20837,0.20965,0.144921,0.174668,0.656273,0.993896,1.205266,0.829692,4.871729,0.023226,1.513009,-0.05062,8.264662,2.624073,0.380105,0.086069,-7.851605,0.120685,-0.526949,0.005472,-0.096736,0.014367,0.134708,-0.105046
45,AC4,Xây dựng và Vật liệu,2019.0,1.935465,0.025235,174.432179,,0.165812,0.168164,0.090412,0.106307,0.748499,0.986015,1.175814,0.854301,5.863452,0.02153,1.503191,-0.047092,8.105113,1.795499,0.548198,0.066663,-7.703076,0.12144,-0.025714,-0.051709,-0.044144,0.396405,-0.09247,-0.015209
46,ACC,Xây dựng và Vật liệu,2016.0,1.749287,0.133401,78.375625,-225.968003,0.182365,0.235306,0.058962,0.191856,0.536075,0.775009,3.253885,0.312742,0.455059,0.084339,2.507386,-0.039725,6.844892,2.32853,0.42944,0.312923,-5.128971,0.146089,,,,,,
47,ACC,Xây dựng và Vật liệu,2017.0,1.777348,0.113033,187.211008,-1022.527341,0.378466,0.473702,0.091216,0.28852,0.332539,0.798955,3.163052,0.328372,0.488919,0.086945,0.854595,-0.030878,2.192373,2.495164,0.400122,0.18369,-1.707018,0.455384,1.145179,-0.393228,-0.286044,-0.358799,-0.356782,-0.417823
48,ACC,Xây dựng và Vật liệu,2018.0,1.79956,0.109933,95.229569,-580.035553,0.406955,0.51082,0.150149,0.439068,0.239286,0.79667,2.924205,0.367989,0.582252,0.094924,1.094144,-0.037885,2.547038,4.331768,0.230847,0.207743,-2.036557,0.392604,0.18565,0.247031,0.414539,-0.206564,0.180515,0.339688
49,ACC,Xây dựng và Vật liệu,2019.0,1.810626,0.110575,101.280824,-1663.615126,0.1576,0.204941,0.265656,0.651204,0.352144,0.769,2.451306,0.499853,0.999414,0.097983,1.115971,-0.045909,6.046683,2.706158,0.36951,0.180428,-4.901832,0.165372,-0.475604,0.176058,0.26218,0.992753,0.115893,0.252186
50,ACE,Xây dựng và Vật liệu,2016.0,1.794669,0.087718,42.480076,-247.698315,0.294346,0.348341,0.064755,0.140797,0.490507,0.844995,2.174289,0.468202,0.880413,0.169201,4.263626,-0.071437,7.159196,4.296132,0.232768,0.43269,-5.689194,0.13968,,,,,,
51,ACE,Xây dựng và Vật liệu,2017.0,1.844344,0.06687,85.213962,-509.21822,0.295182,0.371899,0.044391,0.110629,0.460256,0.793715,2.492143,0.404568,0.679453,0.149495,2.057134,-0.051064,7.26537,4.659596,0.214611,0.333821,-6.13447,0.137639,-0.090954,-0.300654,-0.019805,-0.149433,-0.317789,-0.296728
52,ACE,Xây dựng và Vật liệu,2018.0,1.829314,0.059612,81.333921,-878.009245,0.422363,0.500307,0.052987,0.098581,0.375975,0.844208,1.860496,0.537491,1.162121,0.105636,1.872215,-0.043984,3.954188,4.442058,0.225121,0.285063,-3.279264,0.252896,0.787952,0.067055,-0.044226,0.020751,0.233033,-0.132526
53,ACE,Xây dựng và Vật liệu,2019.0,1.807472,0.053703,76.92383,-1166.339516,0.373005,0.425139,0.109634,0.196832,0.397234,0.87737,1.795351,0.56667,1.307711,0.102252,1.870811,-0.052482,4.745111,4.455677,0.224433,0.340764,-3.831547,0.210743,-0.048056,0.288534,0.112267,0.138862,0.423499,0.029116
54,ACL,Sản xuất thực phẩm,2016.0,1.851018,0.02,33.471697,-1717.963728,0.390529,0.585281,0.032311,0.049692,0.199566,0.667251,1.537942,0.702645,2.362985,0.07931,2.192627,-0.001429,2.786237,5.452368,0.183107,0.160594,-2.375014,0.358321,,,,,,
55,ACL,Sản xuất thực phẩm,2017.0,1.847117,0.019872,80.692517,-3345.403182,0.295754,0.451873,0.044297,0.070667,0.262491,0.654507,1.595319,0.659921,1.940493,0.105094,1.045239,-0.00437,3.651976,4.114753,0.242471,0.163024,-3.100761,0.273196,-0.297277,-0.05805,-0.082542,0.220492,-0.082073,-0.084845
56,ACL,Sản xuất thực phẩm,2018.0,1.744026,0.153957,70.816074,-3063.554445,0.344079,0.475064,0.059316,0.101557,0.272959,0.724278,1.71215,0.584061,1.404198,0.22359,1.393335,-0.051237,3.653727,4.605704,0.216523,0.319216,-2.725986,0.272938,0.421273,1.39212,0.24949,0.270379,0.116423,10.016653
57,ACL,Sản xuất thực phẩm,2019.0,1.774267,0.112744,81.621559,-3591.8784,0.483508,0.641893,0.04197,0.077149,0.182928,0.753253,1.838177,0.544017,1.193066,0.279142,1.019534,-0.024289,2.00643,5.303301,0.18775,0.21574,-1.560232,0.496251,0.528459,-0.264886,-0.125179,-0.27106,-0.083529,-0.38534
58,ACM,Khai khoáng,2016.0,1.820889,0.093033,378.668473,,0.129042,0.341453,0.012835,0.089318,0.383781,0.37792,6.958724,0.210324,0.266341,0.039817,0.369929,-0.002262,1.433361,0.481952,2.074896,0.033129,-1.17663,0.697661,,,,,,
59,ACM,Khai khoáng,2017.0,1.778809,-1.624347,5171.163503,,0.169885,0.453227,0.025186,0.186097,0.334606,0.374835,7.388801,0.205892,0.259275,-2.2e-05,0.025502,0.0,0.153944,0.07816,12.794253,0.005785,-0.119893,6.495869,0.243121,-0.835121,-0.873332,-0.176736,1.44513,-3.3311
60,ACM,Khai khoáng,2018.0,1.673619,-4.174962,3311.826785,,0.133131,0.625396,0.000521,0.003755,0.229603,0.212875,7.21149,0.246629,0.327367,-0.145522,0.031611,0.0,0.251808,0.146007,6.849007,0.010941,-0.169622,3.971285,-0.307679,0.670983,-0.020517,-0.393785,1.864468,1.910634
61,ACM,Khai khoáng,2019.0,1.901663,0.039232,3735.992285,,0.110206,0.474063,0.005175,0.026039,0.30318,0.232471,5.031529,0.260561,0.352376,-0.142585,0.02606,-0.00109,0.234248,0.085149,11.744113,0.002539,-0.211213,4.268983,-0.15637,-0.763543,0.050482,0.34571,-0.99007,-1.007375
62,ACS,Xây dựng và Vật liệu,2016.0,1.914147,0.025737,46.585392,,0.164266,0.290719,0.152432,0.199289,0.274712,0.565034,1.307393,0.81994,4.5537,0.016983,2.189797,-0.033325,6.551531,3.917537,0.255262,0.092394,-5.989063,0.152636,,,,,,
63,ACS,Xây dựng và Vật liệu,2017.0,1.902382,0.02235,142.159163,,0.044348,0.080107,0.213347,0.28388,0.334338,0.553609,1.330601,0.872074,6.817032,0.011074,0.815149,-0.030524,15.178474,2.013338,0.496688,0.06571,-13.696788,0.065883,-0.609661,0.028255,-0.107308,0.75964,0.110019,-0.21468
64,ACS,Xây dựng và Vật liệu,2018.0,1.918513,0.021584,125.982469,,0.124921,0.240047,0.146096,0.300286,0.268425,0.520403,2.055398,0.920425,11.566715,0.012953,0.854268,-0.040379,5.328922,2.480009,0.403224,0.054246,-4.894683,0.187655,3.927801,0.444196,0.760999,0.40452,0.221243,0.670751
65,ACS,Xây dựng và Vật liệu,2019.0,1.939999,0.003739,87.026716,,0.548646,0.582147,0.151207,0.161095,0.214681,0.942453,1.06539,0.938891,15.364202,0.004806,1.005292,-0.01889,1.650638,4.218425,0.237055,0.054338,-1.551598,0.605827,4.42849,0.238111,0.720813,-0.01146,0.478737,-0.70871
66,ACV,Vận tải,2016.0,1.599871,0.289802,90.042715,-523.10732,0.015366,0.032324,0.06744,0.368928,0.153975,0.475373,5.470476,0.481645,0.929178,0.048503,0.797069,-0.056685,20.30997,2.026816,0.49137,0.124104,-12.233312,0.049036,,,,,,
67,ACV,Vận tải,2017.0,1.589786,0.384545,243.625254,-2126.576144,0.00822,0.01534,0.026721,0.178631,0.228517,0.535833,6.685131,0.442985,0.795283,0.098627,0.31263,-0.044615,34.223998,1.231041,0.809791,0.114881,-20.247881,0.029128,-0.439747,-0.030519,-0.0727,0.554346,-0.46666,0.252713
68,ACV,Vận tải,2018.0,1.513939,0.468439,241.536005,-1441.623995,0.008754,0.015007,0.011905,0.083081,0.188424,0.583325,6.978782,0.425895,0.741841,0.119298,0.342272,-0.046541,34.345406,1.59569,0.625987,0.145969,-17.67122,0.029083,0.161672,0.38593,0.013842,-0.100616,0.166185,0.420124
69,ACV,Vận tải,2019.0,1.489803,0.55361,184.984394,-1464.210465,0.008482,0.013233,0.00601,0.053645,0.145659,0.641009,8.925202,0.368174,0.582714,0.152733,0.363037,-0.052823,37.141614,2.16295,0.46143,0.160437,-18.227627,0.026871,0.051201,0.192406,0.0843,-0.161351,-0.252878,0.343474
70,ADC,Dịch vụ tài chính,2016.0,1.669849,0.036434,16.041341,-13.392609,0.081027,0.112034,0.279997,0.554918,0.229542,0.723237,1.981873,0.504801,1.019391,0.079159,5.257078,-0.047741,32.229679,11.376855,0.087898,0.862179,-21.589012,0.031027,,,,,,
71,ADC,Dịch vụ tài chính,2017.0,1.668568,0.036884,30.598921,-15.758671,0.131305,0.180077,0.375564,0.679176,0.272456,0.729164,1.808413,0.552971,1.236991,0.085757,3.036413,-0.052803,21.082258,10.16022,0.098423,0.917475,-14.094921,0.047433,0.940642,0.274349,0.266996,0.421431,0.273769,0.285094
72,ADC,Dịch vụ tài chính,2018.0,1.661793,0.034748,31.35066,-10.248368,0.193577,0.257631,0.31106,0.565557,0.255437,0.751372,1.818163,0.550006,1.22225,0.085048,3.095348,-0.060049,15.331686,11.618734,0.086068,1.00375,-10.146399,0.065224,0.578917,0.171711,0.136603,0.004099,0.188622,0.081756
73,ADC,Dịch vụ tài chính,2019.0,1.668724,0.035293,30.15034,-12.238881,0.168993,0.225782,0.288324,0.521713,0.252493,0.748478,1.809465,0.55265,1.235384,0.085813,3.097956,-0.061602,17.385196,11.635894,0.085941,0.973281,-11.625902,0.05752,-0.042448,0.063552,0.097178,0.084204,0.056812,0.102817
74,ADG,Truyền thông,2017.0,1.834614,0.083488,27.071459,-91.352076,0.010063,0.012635,0.198847,0.414301,0.325302,0.796482,2.08351,0.479959,0.922926,0.219372,4.411006,-0.077626,217.92086,6.741417,0.148337,0.362691,-181.87978,0.004589,,,,,,
75,ADG,Truyền thông,2018.0,1.877009,0.077788,46.844012,-276.563989,0.004613,0.006098,0.117306,0.420073,0.41181,0.756554,3.581001,0.279252,0.387447,0.251732,2.924762,-0.062147,604.971651,6.777325,0.147551,0.343265,-530.565329,0.001653,-0.510364,0.010848,0.428329,0.352081,-0.052491,0.266488
76,ADG,Truyền thông,2019.0,1.799697,0.14395,58.255548,-707.980411,0.0,0.0,0.078221,0.205133,0.317602,0.736082,2.622474,0.385433,0.627163,0.205972,2.244435,-0.082532,,5.468873,0.182853,0.347911,,0.0,-1.0,0.762305,-0.013287,0.341003,0.348261,1.002473
77,ADP,Xây dựng và Vật liệu,2016.0,1.759771,0.164111,18.68988,-297.714363,0.189038,0.277283,0.269542,0.884629,0.22459,0.681753,3.281968,0.304695,0.438218,0.167774,4.436853,-0.103601,11.601047,9.764643,0.101933,0.519035,-8.855387,0.085798,,,,,,
78,ADP,Xây dựng và Vật liệu,2017.0,1.801906,0.113178,39.84152,-642.580215,0.238158,0.369817,0.136748,0.455423,0.155941,0.643989,3.33039,0.300265,0.429113,0.111828,1.754038,-0.054407,7.045058,10.759442,0.092519,0.32622,-5.675296,0.141298,0.345145,-0.32893,-0.137915,-0.25865,-0.088626,-0.436647
79,ADP,Xây dựng và Vật liệu,2018.0,1.843556,0.074123,34.611249,-512.33882,0.278572,0.431893,0.084952,0.361918,0.177641,0.645002,4.260265,0.234727,0.306724,0.075283,1.777747,-0.03607,6.565803,10.296288,0.096491,0.276047,-5.574867,0.151314,0.077786,-0.220291,0.058713,0.049651,-0.051063,-0.34215
80,ADP,Xây dựng và Vật liệu,2019.0,1.815997,0.095166,43.255248,-296.240103,0.251721,0.357452,0.032006,0.148125,0.267205,0.70421,4.628084,0.216072,0.275628,0.088237,1.904643,-0.045419,7.38629,6.958271,0.142963,0.334144,-6.058854,0.134678,-0.074677,0.239543,0.005656,0.540322,0.139151,0.336478
81,ADS,Hàng cá nhân,2016.0,1.916492,0.03389,51.349007,-11285.019966,0.161612,0.259271,0.038486,0.056697,0.244841,0.623335,1.47318,0.797361,3.934895,0.051369,1.799512,-0.021017,5.384439,3.55411,0.280769,0.070978,-4.945252,0.185328,,,,,,
82,ADS,Hàng cá nhân,2017.0,1.918514,0.048062,93.046107,-16800.270936,0.187784,0.267827,0.110053,0.184607,0.291564,0.701142,1.677436,0.724733,2.632839,0.055158,1.086117,-0.018985,5.112649,3.29285,0.30354,0.077802,-4.698331,0.195498,0.437385,0.355994,0.365615,0.473118,0.004816,0.935578
83,ADS,Hàng cá nhân,2018.0,1.929202,0.02932,107.391574,-20444.084825,0.233581,0.312982,0.018329,0.028066,0.365391,0.746307,1.531187,0.736135,2.789817,0.048266,1.144716,-0.011213,4.596582,2.938429,0.340256,0.075831,-4.271936,0.217513,0.361323,0.06669,0.237777,0.371535,0.245953,-0.253363
84,ADS,Hàng cá nhân,2019.0,1.966687,0.004116,148.473211,-21362.078458,0.223805,0.285075,0.016995,0.024204,0.439197,0.785073,1.424229,0.767458,3.300294,0.021321,1.009941,-0.003362,4.395127,2.239657,0.446497,0.032768,-4.248713,0.227525,-0.030345,-0.562688,-0.035616,0.216431,-0.21247,-0.869835
85,AFC,Lâm nghiệp và Giấy,2016.0,1.872896,0.01021,82.944538,-25272.317877,0.091657,0.42217,0.042047,0.253333,0.145987,0.217108,6.024957,0.431569,0.75923,0.0,0.646063,-0.001361,3.504487,2.200265,0.454491,0.040827,-3.059052,0.285348,,,,,,
86,AFC,Lâm nghiệp và Giấy,2017.0,1.924218,-0.039568,165.349796,-2960131.248308,0.080191,0.341933,0.030059,0.183037,0.200446,0.234524,6.089247,0.460307,0.852906,-0.010644,0.389222,0.0,4.704196,1.881983,0.531355,0.028588,-4.347702,0.212576,-0.096323,-0.276764,0.284358,0.418187,0.185867,-5.700931
